"","Activity_ID","Activity_Status","WBS_CD","Activity_Type","Activity_Name","Planned_Start_DT","Planned_Finish_DT","Actual_Start_DT","Actual_Finish_DT","ML_Planned_DT","ML_Actual_DT","Activity_Complete_PCNT","Actual_Dur","Remaining_Dur","Original_Dur","Total_Float","Remaining_Float","Primary_Constraint","Primary_Constraint_DT","Sec_Constraint","Sec_Constraint_DT","Pred_DTL","Sec_DTL","Resources","Budgeted_Labor_Units","Budgeted_Nonlabor_Units"
"1","MDC1.M1000","Completed","MDC1-BL.1","Start Milestone","Project Start",2020-04-27 07:00:00,NA,2020-02-24,NA,2020-04-27 07:00:00,2020-02-24,100,0,0,0,NA,NA,"As Late As Possible",NA,NA,NA,NA,"A1170: FS, MDC1-2029: FS, MDC1-2527: FS",NA,0,0
"2","A1170","Completed","MDC1-BL.4.9.2","Start Milestone","Phase 1A - Funding Release",2020-02-24 07:00:00,NA,2020-02-24 07:00:00,NA,2020-02-24 07:00:00,2020-02-24,100,0,0,0,NA,NA,"Start On or After",2020-02-24,NA,NA,"MDC1.M1000: FS","MDC1-1383: FS, MDC1-1977: FS, MDC1.C2.E1300: FS, MDC1.C2.E1310: FS, MDC1.C2.E1360: FS, MDC1.C2.E1410: FS, MDC1.C3.E1340: FS, MDC1.C3.E1360: FS, MDC1.C3.E1350: FS, MDC1.C3.E1370: FS, MDC1.C4.E1360: FS, MDC1.C4.E1380: FS, MDC1.C4.E1370: FS, MDC1.C4.E1390: FS, MDC1.C1.CS1110: FS, MDC1.C2.CS1090: FS, MDC1.C4.CS1090: FS, MDC1-2001: FS, MDC1-2002: FS, MDC1-2002: SS",NA,0,0
"3","MDC1.C1.E1320","Not Started","MDC1-BL.4.10.3.1.1","Start Milestone","MDC1 Deliery -MER ROJ COLO 1 CELL 1",2020-11-06 08:00:00,NA,NA,NA,2020-11-06 08:00:00,NA,0,0,0,0,0,0,"Start On or After",2020-11-06,NA,NA,"MDC1-2527: FS","MDC1.C1.C1250: FS",NA,0,0
"4","MDC1.P1010","Completed","MDC1-BL.3.1","Start Milestone","Mobilize on Site",2020-04-27 07:00:00,NA,2020-04-06,NA,2020-04-27 07:00:00,2020-04-06,100,0,0,0,NA,NA,NA,NA,NA,NA,"MDC1.S.1000: SS -1","MDC1-P1020: FS",NA,0,0
"5","MDC1-P1020","Completed","MDC1-BL.3.1","Start Milestone","Break Ground",2020-04-27 07:00:00,NA,2020-04-22,NA,2020-04-27 07:00:00,2020-04-22,100,0,0,0,NA,NA,"Start On or After",2020-03-16,NA,NA,"MDC1.P1010: FS","MDC1.AD.CS1000: FS, MDC1-C1.P1000: FS",NA,0,0
"6","MDC1-C1.P1000","Completed","MDC1-BL.3.2","Start Milestone","Foundation Start - Admin/COLO 1",2020-04-27 07:00:00,NA,2020-04-22,NA,2020-04-27 07:00:00,2020-04-22,100,0,0,0,NA,NA,NA,NA,NA,NA,"MDC1-P1020: FS, MDC1-2002: FS","MDC1.C1.CS1010: FS, MDC1.AD.CS1000: FS",NA,0,0
"7","MDC1-C1.P1100","Completed","MDC1-BL.3.2","Start Milestone","Steel Erection - Admin/COLO 1",2020-07-27 07:00:00,NA,2020-06-22,NA,2020-07-27 07:00:00,2020-06-22,100,0,0,0,NA,NA,NA,NA,NA,NA,"MDC1.S.1010: FS, MDC1.AD.CS1030: SS","MDC1.C1.CS1030: FS",NA,0,0
"8","MDC1-C1.P1500","Not Started","MDC1-BL.3.2","Start Milestone","Fit out Start - Admin/COLO 1",2020-09-02 07:00:00,NA,NA,NA,2020-09-02 07:00:00,NA,0,0,0,0,11,11,NA,NA,NA,NA,"MDC1.AD.CS1100: FS","MDC1.C1.C1120: FS, MDC1.C1.C1030: FS, MDC1.C1.C3010: FS, MDC1.C1.C2030: FS, MDC1.C1.C4010: FS, MDC1.C1.C1170: FS, MDC1AD-1017: FS",NA,0,0
"9","MDC1-C1.P1400","Not Started","MDC1-BL.3.2","Start Milestone","SOG- ADMIN/ COLO1 Start",2020-08-14 07:00:00,NA,NA,NA,2020-08-14 07:00:00,NA,0,0,0,0,1,1,NA,NA,NA,NA,"MDC1.AD.CS1080: FS, MDC1.AD.CS1060: FS","MDC1.AD.CS1100: FS, MDC1.AD.CS1090: FS",NA,0,0
"10","MDC1-C2.P1000","Completed","MDC1-BL.3.3","Start Milestone","Foundation Start - COLO 2",2020-06-12 07:00:00,NA,2020-05-04,NA,2020-06-12 07:00:00,2020-05-04,100,0,0,0,NA,NA,NA,NA,NA,NA,"MDC1.C1.CS1000: FS, MDC1.C1.CS1020: FS","MDC1.C2.CS1010: FS, MDC1.C2.CS1000: FS",NA,0,0
"11","MDC1-C2.P1100","Not Started","MDC1-BL.3.3","Start Milestone","Steel Erection - COLO 2",2020-07-07 07:00:00,NA,NA,NA,2020-07-07 07:00:00,NA,0,0,0,0,6,6,NA,NA,NA,NA,"MDC1.C1.CS1030: FS","MDC1.C2.CS1020: FS",NA,0,0
"12","MDC1-C2.P1500","Not Started","MDC1-BL.3.3","Start Milestone","Fit out Start - COLO 2",2020-10-05 07:00:00,NA,NA,NA,2020-10-05 07:00:00,NA,0,0,0,0,16,16,NA,NA,NA,NA,"MDC1.C2.CS1090: FS","MDC1.C2.C1050: FS",NA,0,0
"13","MDC1-C2.P1400","Not Started","MDC1-BL.3.3","Start Milestone","SOG- COLO 2 Start",2020-09-22 07:00:00,NA,NA,NA,2020-09-22 07:00:00,NA,0,0,0,0,14,14,NA,NA,NA,NA,"MDC1.C2.CS1070: FS, MDC1.C2.CS1050: FS, MDC1.C2.CS1020: FS","MDC1.C2.CS1090: FS, MDC1.C2.CS1080: FS",NA,0,0
"14","MDC1-C3.P1000","Completed","MDC1-BL.3.4","Start Milestone","Foundation Start - COLO 3",2020-06-22 07:00:00,NA,2020-05-29,NA,2020-06-22 07:00:00,2020-05-29,100,0,0,0,NA,NA,NA,NA,NA,NA,"MDC1.C2.CS1000: FS","MDC1.C3.CS1000: FS",NA,0,0
"15","MDC1-C3.P1100","Not Started","MDC1-BL.3.4","Start Milestone","Steel Erection -COLO 3",2020-07-23 07:00:00,NA,NA,NA,2020-07-23 07:00:00,NA,0,0,0,0,7,7,NA,NA,NA,NA,"MDC1.C2.CS1020: FS","MDC1.C3.CS1020: FS",NA,0,0
"16","MDC1-C3.P1500","Not Started","MDC1-BL.3.4","Start Milestone","Fit out Start - COLO 3",2020-10-22 07:00:00,NA,NA,NA,2020-10-22 07:00:00,NA,0,0,0,0,49,49,NA,NA,NA,NA,"MDC1.C3.CS1090: FS","MDC1.C3.C1090: FS",NA,0,0
"17","MDC1-C3.P1400","Not Started","MDC1-BL.3.4","Start Milestone","SOG- COLO 3 Start",2020-10-10 07:00:00,NA,NA,NA,2020-10-10 07:00:00,NA,0,0,0,0,49,49,NA,NA,NA,NA,"MDC1.C3.CS1070: FS","MDC1.C3.CS1090: FS, MDC1.C3.CS1080: FS",NA,0,0
"18","MDC1-C4.P1000","Not Started","MDC1-BL.3.5","Start Milestone","Foundation Start - COLO 4",2020-07-20 07:00:00,NA,NA,NA,2020-07-20 07:00:00,NA,0,0,0,0,11,11,NA,NA,NA,NA,"MDC1.C3.CS1010: FS","MDC1.C4.CS1010: FS, MDC1.C4.CS1000: FS",NA,0,0
"19","MDC1-C4.P1100","Not Started","MDC1-BL.3.5","Start Milestone","Steel Erection - COLO 4",2020-08-08 07:00:00,NA,NA,NA,2020-08-08 07:00:00,NA,0,0,0,0,10,10,NA,NA,NA,NA,"MDC1.C3.CS1020: FS","MDC1.C4.CS1020: FS",NA,0,0
"20","MDC1-C4.P1500","Not Started","MDC1-BL.3.5","Start Milestone","Fit out Start - COLO 4",2020-11-10 07:00:00,NA,NA,NA,2020-11-10 07:00:00,NA,0,0,0,0,68,68,NA,NA,NA,NA,"MDC1.C4.CS1090: FS","MDC1.C4.C1140: FS",NA,0,0
"21","MDC1-C4.P1400","Not Started","MDC1-BL.3.5","Start Milestone","SOG- COLO 4 Start",2020-10-29 07:00:00,NA,NA,NA,2020-10-29 07:00:00,NA,0,0,0,0,68,68,NA,NA,NA,NA,"MDC1.C4.CS1070: FS","MDC1.C4.CS1090: FS",NA,0,0
"22","MDC1-C1.P1200","Not Started","MDC1-BL.3.2","Start Milestone","Insulated Metal Panel Start- Admin/COLO 1",2020-07-07 07:00:00,NA,NA,NA,2020-07-07 07:00:00,NA,0,0,0,0,9,9,NA,NA,NA,NA,"MDC1.AD.CS1030: SS 12","MDC1.C1.CS1050: FS, MDC1AD-1010: FS, MDC1.AD.CS1060: FF, MDC1.AD.CS1070: FS, MDC1.C1.CS1060: FS, MDC1-1965: FS, MDC1-1972: FS, MDC1-C1.P1300: FS",NA,0,0
